"","SA","cancer","type"
"839a5a2d-0447-4d06-b910-8500bf600e3e",0.0857609284423831,"BLCA","tumor"
"b4013849-b1b4-45ad-8ce9-72d3c2683f3f",0.13725436025118,"BLCA","tumor"
"a67b8b9e-1e8a-4848-9d09-0e266a44cf40",0.0799276129849126,"BLCA","tumor"
"b77649b0-638c-4445-8faf-3e1556dbac42",0.10243499094511,"BLCA","tumor"
"bf57d382-9256-40d4-8dde-6c0dd2a91544",0.14000463755456,"BLCA","tumor"
"3ae0aa50-05b1-4b5f-a737-be816d475a45",0.0671168665922799,"BLCA","tumor"
"9ad20178-0c10-4e11-a855-5b5c05abf747",0.359051159322412,"BLCA","tumor"
"6c0b851d-80a8-4e10-8328-9ba08d938849",0.360032129188014,"BLCA","tumor"
"9607335a-27fa-4118-8403-57d9d13bcd4d",0.000310364148033205,"BLCA","tumor"
"50b17207-5e41-4cd3-bdbf-1f8efbd8ee4e",0.0448296576888504,"BLCA","tumor"
"eaec5fcc-3871-4a2e-a7e4-6c2d9a205a50",0.0710009416939388,"BLCA","tumor"
"c315c9e4-6a99-4169-afc7-8cf13b656f51",0.0287447997579793,"BLCA","tumor"
"54539b90-4eec-4579-89f4-5efc4fb4cc51",0.040936036269314,"BLCA","tumor"
"a3e4d473-949d-4ada-87af-60ed83b9e056",0.0714172348146315,"BLCA","tumor"
"eedfa1f7-26d8-426a-93f5-43ccf0b3cf59",0.11842245656676,"BLCA","tumor"
"5dcbc0b2-62d4-409c-b7fd-833b2814395c",0.0395219126875787,"BLCA","tumor"
"e64a5d3b-33de-45b9-bda2-4db79eff905c",0.0945672711600669,"BLCA","tumor"
"e3f52c71-f558-47c7-b956-bc79f98efd5d",0.0710407931118413,"BLCA","tumor"
"f8c42878-78d3-49f7-9900-7ac7e0f4d05d",0.0422312688457091,"BLCA","tumor"
"64b46e48-cc72-47ff-bc68-8b29736c7d5f",0.0591465636393983,"BLCA","tumor"
"953a9f0a-ec20-4ec3-88b6-348d528fa561",0.000109515277075549,"BLCA","tumor"
"3e9eee6e-f01d-453c-9f57-99edffa84c63",0.0790090934624108,"BLCA","tumor"
"e1f863f8-90f0-402c-8433-95f522ddce63",0.0145652766419583,"BLCA","tumor"
"7baa722a-1307-4b47-bb75-60679c104666",0.0870449824525821,"BLCA","tumor"
"919ffb8d-d3b1-470c-8e2f-045104aced68",0.106444567160916,"BLCA","tumor"
"56943bd9-eeda-457a-9f18-acc397978668",0.358351510691608,"BLCA","tumor"
"2a08011a-e15e-4754-b560-4637ef3a446b",0.0729735100616955,"BLCA","tumor"
"12be2e3a-1b57-4eee-b130-e70b6be5a96b",0.0140107387531326,"BLCA","tumor"
"7465251e-7bc8-4179-8950-4e41836cf36b",0.331232409327557,"BLCA","tumor"
"15edf2de-2aeb-4704-a97c-8d0ca47a926d",0.361537964900811,"BLCA","tumor"
"991bfa60-a438-4fc6-8500-3468784aea6f",0.0901192178267028,"BLCA","tumor"
"090b1958-a944-4b50-8fa4-8f6313e2126f",0.385425421134659,"BLCA","tumor"
"a8574381-5644-4f7a-bdd7-c579a6398b70",0.0255948055198669,"BLCA","tumor"
"6e9b9564-200a-40f7-adb9-17a64fdb2470",0.0818226456006233,"BLCA","tumor"
"70b667b1-29b5-4287-9110-46e3e9855271",0.086306897317738,"BLCA","tumor"
"7a8f589a-ba6b-4249-8203-f1645db0e772",0.0685921533397209,"BLCA","tumor"
"7b83b2c9-afe1-4958-b90e-c37f1b354174",0.11772993622662,"BLCA","tumor"
"0c559892-1a50-4b5a-97f7-e42296ee327b",0.0183276816931657,"BLCA","tumor"
"b76ba504-e72d-4243-8401-d9f12757b57d",0.25423522805444,"BLCA","tumor"
"7248e306-3877-46f8-91f6-706ad5d8207e",0.374692903588772,"BLCA","tumor"
"815f1327-2fdc-4fb2-94eb-ccd41adfe47f",0.0807192480580311,"BLCA","tumor"
"3d6b2adc-f22f-471e-960e-4f13f3a3d081",0.0849752245719928,"BLCA","tumor"
"a66fcda9-6775-4052-94c4-12e173df4084",0.0146793952183334,"BLCA","tumor"
"82341457-7386-4c56-9daf-a8f020055685",0.381260423281899,"BLCA","tumor"
"f29f82bf-062c-4273-82e9-05d68e51df86",0.0492825549932547,"BLCA","tumor"
"3b41a4ab-99f1-49dd-bdc1-f5d7b73ab388",0.0831967387326145,"BLCA","tumor"
"e413ffe3-63d8-407c-ac26-0aff9d1d4288",0.0458663466332927,"BLCA","tumor"
"b6b48fc3-8c96-45fe-a0fb-8c94bb9fa78a",0.272583812337987,"BLCA","tumor"
"73282bfc-0581-4f94-af4b-1b14401aac8b",0.378252254458426,"BLCA","tumor"
"c1b88dfe-eabb-4fd9-b400-aea8dc5b7f8d",0.00727714637841053,"BLCA","tumor"
"b5bb6b5e-75c7-4e0b-ba74-b86e4df8bf8e",0.0699958850530892,"BLCA","tumor"
"529769db-59a0-4e69-8860-13c7caa1db92",0.0912010300311791,"BLCA","tumor"
"78a063fb-1c15-40f5-af8d-b0d86142f794",0.384483588090847,"BLCA","tumor"
"a3dbf047-c112-47d2-b192-87b2fd3c8694",0.35216867977966,"BLCA","tumor"
"136b7576-1108-4fa3-8254-6069f0ca879a",0.081098962690614,"BLCA","tumor"
"c14a2bc9-0d51-4699-9280-fb66eb72f19b",0.0370008990952414,"BLCA","tumor"
"93cef7c9-5f0b-4422-a59a-54dfada6ea9e",0.547741910897824,"BLCA","tumor"
"4aaa6060-a678-48b4-a2ed-388d0ffb229f",0.0543261870148448,"BLCA","tumor"
"4c12fd64-4333-4686-9e10-afb2589d3a9f",0.015247003432445,"BLCA","tumor"
"31821d8d-76b3-4a0a-9630-7996a5b74d9f",0.0105187466929213,"BLCA","tumor"
"f4424d1c-5c92-4820-9f6c-ba81958bb39f",0.0189413850037053,"BLCA","tumor"
"0385684f-fba1-4c13-8abe-4725849469a3",0.101154913379715,"BLCA","tumor"
"b42c48a2-5f6c-4b28-ba09-b497470980a4",0.061121150443026,"BLCA","tumor"
"6516f0bc-00e2-40e6-9b9d-420f0da30fa5",0.022201287102632,"BLCA","tumor"
"eb235e9a-e453-4108-ad4f-31260f4340a6",0.0400647972385611,"BLCA","tumor"
"c7a7975b-a60e-4562-8b3a-bee3a6f9b6a8",0.402811115728352,"BLCA","tumor"
"187000ef-d29e-4977-be3a-4d28cb9f6da9",0.0434427986847828,"BLCA","tumor"
"af4b90a4-0b1c-4f3e-8014-9e5ca7dabdac",0.0754268868525945,"BLCA","tumor"
"19c664dd-3cbe-48a0-9fe4-47b542cce4ae",0.0500042938533787,"BLCA","tumor"
"abcc1024-67f3-4164-b69e-de85e2bda4ae",0.0308690908496598,"BLCA","tumor"
"3d6ce155-4e02-4739-a8c9-30981ea9b0b1",0.0818675302870652,"BLCA","tumor"
"910a82c8-4fe3-42e3-af3e-fb94908018b2",0.351303530942553,"BLCA","tumor"
"1df1c041-687f-4368-9225-7e2d03f5c2b3",0.0691416816527007,"BLCA","tumor"
"962e56df-4a1d-473e-acbd-623243cfc5b3",0.0269138652140348,"BLCA","tumor"
"9972e418-efec-4aa6-aa83-98d79d74dfb4",0.0505053564459341,"BLCA","tumor"
"e6982ff2-c754-4998-8c38-83caa07151b4",0.383853081939333,"BLCA","tumor"
"6619b1f9-1175-4e22-8422-3aa2fb8bb0b5",0.370989414890578,"BLCA","tumor"
"039801d9-2943-4731-88d9-7b3d5e2cceb8",0.0702632116395944,"BLCA","tumor"
"7a4553b4-8695-49a2-8291-c86a00ea84b8",0.0600621168908514,"BLCA","tumor"
"1ca3c03e-20a1-401e-be97-12d0e506afb8",0.0146532483151155,"BLCA","tumor"
"535b17b1-d5e8-4ff6-ac93-049871eb14bb",0.383825043079336,"BLCA","tumor"
"8a6f9c75-7aea-49ce-92e3-5058689276bc",0.0151462673227574,"BLCA","tumor"
"8eaaf41e-2f4d-4d8b-8af4-3497d7e047bc",0.0377510953081217,"BLCA","tumor"
"5663c145-b465-4509-ba9a-1a40584952bd",0.00889755606277531,"BLCA","tumor"
"e4db5591-7c73-4792-b86f-3b2fb59c66bd",0.0348967018675749,"BLCA","tumor"
"0999a56b-c2fa-4970-8542-d1abdd5166be",0.076564917106051,"BLCA","tumor"
"f8da4628-f7c4-4627-9374-45d10e349cbf",0.0735663055267439,"BLCA","tumor"
"bbcf0fb7-dd2a-4037-ba10-603b84b242c0",0.0713537132005794,"BLCA","tumor"
"f50b6ad4-1dcc-45d6-84d6-f640f7fda8c0",0.0646935918899637,"BLCA","tumor"
"e9894334-c852-4159-9feb-40292b160cc1",0.0117723611247805,"BLCA","tumor"
"f5f2c2a1-4a1f-4c40-96a9-1aa18ec4c9c2",0.0710579822914646,"BLCA","tumor"
"cc960c25-e7ae-4edb-aeec-80b21cd2a7c2",0.0285107299406744,"BLCA","tumor"
